"Field Name","Alias","Description","Type"
"address","","Human readable address or description of location.","Text"
"agency_responsible","","The department in charge of the service request.<br />","Text"
"expected_datetime","","The date and time when the service request can be expected to be fulfilled. This may be based on a service-specific service level agreement. ","Date/Time"
"location","","The latitude and longitude for the location of the service request.","Geometry"
"media_url","","A URL to media associated with the request, eg an image.","URL"
"requested_datetime","","The date and time when the service request was made.","Date/Time"
"service_code","","The unique identifier for the service or information request type.","Numeric"
"service_name","","The human readable name of the service request type.","Text"
"service_notice","","Information about the action expected to fulfill the request or otherwise address the information reported.","Text"
"service_request_id","","The unique ID of the service request created.","Numeric"
"status","","The current status of the service request. <br />","Text"
"status_notes","","Explanation of why the status was changed to current state or more details on current status than conveyed with status alone.","Text"
"updated_datetime","","The date and time when the service request was last modified.<br />","Date/Time"
"zipcode","zipcode","The zipcode of where the service occurred.","Numeric"
