"Field Name","Alias","Description","Type"
"avg_balance","Average Balance","The average total amount owed.",""
"balance","Balance","The total amount owed. An overdue balance means a property owner owes a balance in the current tax year (March 31 - December 31) but it is not yet considered delinquent. Tax delinquencies are those that are delinquent from previous tax years. An account is delinquent when the real estate tax is still unpaid on January 1 of the following year that the tax was due.",""
"census_tract","Census Tract","The census tract in which the properties are located.",""
"interest","Interest","The amount of interest due. ",""
"max_period","Max Period","The most recent outstanding period where a balance is owed. ",""
"min_period","Minimum Period","The earliest outstanding period where a balance is owed. ",""
"num_props","Number of Properties","The number of properties with a balance.",""
"other","Other","Additional charges owner owes.",""
"penalty","Penalty","The penalty amount due.",""
"principal","Principal","The amount of principal due.",""
