objectid,census_tract,num_props,min_period,max_period,principal,interest,penalty,other,balance,avg_balance
1,42101000101,74,1985,2025,1064210.79,155230.3,29017.78,32204,1280662.87,17306.26
2,42101000102,144,1978,2025,902561.37,162841.03,15843.21,65842.76,1147088.37,7965.89
3,42101000200,62,2007,2025,1178299.65,158347.04,52879.01,54369.75,1443895.45,23288.64
4,42101000300,38,1982,2025,1160409.87,204199.86,53290.48,10210.36,1428110.57,37581.86
5,42101000401,110,1986,2025,875019.71,101247.26,26525.82,14006.92,1016799.71,9243.63
6,42101000403,23,2017,2025,324383.05,47260.28,8921.37,20065.11,400629.81,17418.69
7,42101000404,12,2020,2025,187919.84,29479.15,4030.51,2819.58,224249.08,18687.42
8,42101000500,19,1978,2025,323535.41,76752.47,4661.4,14405.2,419354.48,22071.29
9,42101000600,23,2020,2025,552582.25,76400.67,25171.38,20471.78,674626.08,29331.57
10,42101000701,29,2022,2025,193651.48,21334.13,3937.6,6824.62,225747.83,7784.41
11,42101000702,20,2009,2025,269049.13,34903.19,1961.29,6308.13,312221.74,15611.09
12,42101000801,29,2019,2025,204229.89,28025.42,2214.91,2770.26,237240.48,8180.71
13,42101000803,103,2010,2025,693438.73,82530.28,15263.05,25442.27,816674.33,7928.88
14,42101000805,47,1998,2025,763918.94,118628.89,17562.29,17806.91,917917.03,19530.15
15,42101000806,46,2019,2025,398590.52,41549.86,9260.29,9738.24,459138.91,9981.28
16,42101000901,57,1978,2025,1139356.41,123103.79,30065.14,6355.33,1298880.67,22787.38
17,42101000902,32,1985,2025,1375979.01,113045.87,65555.37,4316.79,1558897.04,48715.53
18,42101001001,75,1998,2025,490261.25,52668.24,3072.05,9409.42,555410.96,7405.48
19,42101001002,117,1981,2025,1128165.24,126239.12,26748.65,58023.57,1339176.58,11445.95
20,42101001101,128,1994,2025,879530,111566.72,23933.26,33788.63,1048818.61,8193.9
21,42101001102,41,2003,2025,244009.33,26723.72,4361.7,8004.35,283099.1,6904.86
22,42101001201,81,2011,2025,749817.27,110447.65,24259.36,26838.36,911362.64,11251.39
23,42101001203,23,2023,2025,216352.75,32192.22,1346.36,2174.02,252065.35,10959.36
24,42101001204,65,2014,2025,1393879.44,144286.86,30475.08,22695.95,1591337.33,24482.11
25,42101001301,98,1995,2025,2515485.65,300601.1,70798.92,68419.14,2955304.81,30156.17
26,42101001302,182,1986,2025,937218.16,103745.46,13451.37,52239.06,1106732.15,6080.95
27,42101001400,143,1982,2025,1329401.14,161314.29,27304.88,55838.08,1573858.39,11006
28,42101001500,110,1982,2025,1360611.55,194444.15,40302.2,94285.42,1689643.32,15360.39
29,42101001600,93,1979,2025,730218.79,59629.57,7433.2,9457.26,806738.82,8674.61
30,42101001700,68,2007,2025,719599.33,92777.06,16954.85,22308.56,851639.8,12524.11
31,42101001800,125,1983,2025,752597.88,151348.54,20909.74,54476.69,979332.85,7834.66
32,42101001900,140,1989,2025,1366638.57,174535.92,34824.12,68496.06,1644494.67,11746.39
33,42101002000,244,1978,2025,950228.62,140719.97,27223.78,128171.14,1246343.51,5107.97
34,42101002100,199,1997,2025,1047109.88,137302.28,28521.95,90370.38,1303304.49,6549.27
35,42101002200,154,1984,2025,970275.33,136410.42,21244.79,78292.3,1206222.84,7832.62
36,42101002300,76,1989,2025,423833.78,108333.6,9011.03,16844.61,558023.02,7342.41
37,42101002400,188,1983,2025,1017777.64,138083.41,17708.01,57693.33,1231262.39,6549.27
38,42101002500,141,1978,2025,887241.65,148219.33,17613.65,73642.43,1126717.06,7990.9
39,42101002701,128,1996,2025,711416,73241.15,16283.23,50170.57,851110.95,6649.3
40,42101002702,169,1997,2025,589219.58,67427.28,12599.39,40471.04,709717.29,4199.51
41,42101002801,115,1992,2025,760351.22,72663.13,12626.2,62885.4,908525.95,7900.23
42,42101002802,148,2000,2025,989414.55,108414.78,21134.88,55690.4,1174654.61,7936.86
43,42101002900,128,2005,2025,739191.12,77959.16,12126.95,32955.58,862232.81,6736.19
44,42101003001,161,2003,2025,775876.4,93648.16,20878.25,71307.7,961710.51,5973.36
45,42101003002,173,1995,2025,891050.87,79203.82,16289.45,76313.54,1062857.68,6143.69
46,42101003100,421,1980,2025,1737478.44,227799.47,48012.71,214416.74,2227707.36,5291.47
47,42101003200,528,1978,2025,2103806.37,358622.85,58742.21,250084.48,2771255.91,5248.59
48,42101003300,622,1978,2025,1970189.54,376382.75,60535.46,315575.44,2722683.19,4377.3
49,42101003600,206,1996,2025,1113402.42,181291.27,40348.93,123211.68,1458254.3,7078.9
50,42101003701,370,1997,2025,1163029.86,225988.52,33876.82,166534.68,1589429.88,4295.76
51,42101003702,148,2005,2025,498130.92,71198.92,13568.2,48920.84,631818.88,4269.05
52,42101003800,132,2008,2025,1383938.6,95482.26,14314.82,52809.6,1546545.28,11716.25
53,42101003901,207,1997,2025,1125354.68,138403.8,23300.27,80539.81,1367598.56,6606.76
54,42101003902,153,1995,2025,545322.26,50949.45,10402.9,38750.11,645424.72,4218.46
55,42101004001,125,1997,2025,523838.15,57636.61,9431.4,34690.46,625596.62,5004.77
56,42101004002,168,2004,2025,733195.06,69548.23,17420.67,50515.98,870679.94,5182.62
57,42101004101,305,1983,2025,1357795.34,156933.19,30339.37,152770.9,1697838.8,5566.68
58,42101004103,121,1997,2025,378411.2,61082.72,11663.41,43535.35,494692.68,4088.37
59,42101004104,131,1985,2025,411658.44,62826.06,10852.9,59547.41,544884.81,4159.43
60,42101004201,191,1994,2025,835801.69,85970.48,17449.61,82526.31,1021748.09,5349.47
61,42101004202,194,1982,2025,760047.58,176757.13,18375.99,77789.79,1032970.49,5324.59
62,42101005400,33,1978,2025,159706.69,34709.08,2969.59,23224.14,220609.5,6685.14
63,42101005500,216,1997,2025,748097.73,91832.45,18636.06,100373.82,958940.06,4439.54
64,42101005600,37,1997,2025,122821.8,38805.38,5534.28,30653.13,197814.59,5346.34
65,42101006000,301,1988,2025,984577.06,213245.82,31436.85,161542.49,1390802.22,4620.61
66,42101006100,121,2010,2025,278382.8,40428.77,8358.15,33601.26,360770.98,2981.58
67,42101006200,218,1993,2025,522453.02,124887.91,21124.49,94628.37,763095.79,3500.44
68,42101006300,408,1987,2025,1234954.54,451062.08,54711.75,288029.72,2028758.09,4972.45
69,42101006400,322,1978,2025,923295.55,285353.26,38430.13,236678.52,1483804.42,4608.09
70,42101006500,558,1985,2025,1905751.17,787344.42,75953.52,532002.95,3301122.13,5915.99
71,42101006600,507,1983,2025,1479954.99,786943.02,70086.04,569724.29,2906708.34,5733.15
72,42101006700,509,1985,2025,1501664.01,440033.49,59734.77,332267.66,2333699.93,4584.87
73,42101007000,457,1982,2025,1276196.63,462084.22,51019.9,360842.09,2150142.84,4704.91
74,42101007101,283,1991,2025,852698.71,232296.28,33328.15,178189.58,1296512.72,4581.32
75,42101007102,507,1988,2025,1525629.8,492122.63,56503.97,370335.79,2444592.19,4821.68
76,42101007200,445,1983,2025,1477815.26,406667.93,54215.5,255468.94,2194167.63,4930.71
77,42101007300,331,1978,2025,1441526.05,324492.2,42246.12,183695.64,1991960.01,6018.01
78,42101007400,591,1978,2025,1959984.82,510791.41,60246.49,361880.7,2892903.42,4894.93
79,42101007700,97,1978,2025,337017.96,80875.47,6389.15,36600.04,460882.62,4751.37
80,42101007800,108,1989,2025,1223458.48,136748.87,21819.4,69346.02,1451372.77,13438.64
81,42101007900,112,1992,2025,956891.88,103797.5,15407.87,43008.9,1119106.15,9992.02
82,42101008000,332,1985,2025,1632043.11,220047.32,35539.06,169934.24,2057563.73,6197.48
83,42101008101,270,1990,2025,923237.35,244099.29,30245.14,178666.17,1376247.95,5097.21
84,42101008102,487,1985,2025,1690013.86,320528.68,39963.32,286266.2,2336772.06,4798.3
85,42101008200,589,1978,2025,2111864.18,545691.46,58497.91,335288.2,3051341.75,5180.55
86,42101008301,312,1984,2025,828923.93,213712.9,25430.76,191588.87,1259656.46,4037.36
87,42101008302,447,1978,2025,1309174.75,364161.59,45215.61,247636.87,1966188.82,4398.63
88,42101008400,473,1986,2025,1521022.67,326974.94,42383.23,260029.31,2150848.31,4547.25
89,42101008500,675,1978,2025,3130264.79,827125.28,100636.82,440799.84,4498826.73,6664.93
90,42101008601,55,1997,2025,663209.77,90859.96,17550.02,38318.27,809938.02,14726.15
91,42101008602,109,1997,2025,868639.87,114101.52,17771.3,68720.99,1069233.68,9809.48
92,42101008701,83,1997,2025,765706.13,90431.07,17603.93,32889.74,906630.87,10923.26
93,42101008702,44,2018,2025,796150.92,89893.33,9745.77,19575.12,915365.14,20803.75
94,42101008801,1,2025,2025,4613.74,484.47,0,0,5098.21,5098.21
95,42101008802,20,2015,2025,210985.12,20679.39,2412.28,7165.44,241242.23,12062.11
96,42101009000,102,1992,2025,1088101.42,195052.79,22793.04,66872.07,1372819.32,13459.01
97,42101009100,76,1995,2025,715668.18,116413.79,14992.07,35850.75,882924.79,11617.43
98,42101009200,149,1978,2025,906818.39,111371.74,15633.83,58073.16,1091897.12,7328.17
99,42101009300,502,1978,2025,1574902.11,496358.17,63268.04,365997.82,2500526.14,4981.13
100,42101009400,387,1978,2025,962307.7,339400.38,36196.61,258223.73,1596128.42,4124.36
101,42101009500,423,1983,2025,1085029.87,328957.6,39690.75,281794.61,1735472.83,4102.77
102,42101009600,502,1988,2025,1595497.1,417609.99,58642.72,347077.12,2418826.93,4818.38
103,42101009801,49,2003,2025,222847.73,31345.45,4534.43,17539.46,276267.07,5638.1
104,42101009802,120,1997,2025,425607.97,66056.63,7327.3,45512.64,544504.54,4537.54
105,42101010000,179,1997,2025,739150.41,117861.65,19195.89,78431.56,954639.51,5333.18
106,42101010100,554,1982,2025,2271006.53,617733.46,78898.86,431731.85,3399370.7,6136.05
107,42101010200,297,1978,2025,827220.26,428480.3,35625.5,261648.88,1552974.94,5228.87
108,42101010300,303,1992,2025,921041.7,329976.18,38471.66,255545.29,1545034.83,5099.12
109,42101010400,425,1986,2025,1322381.95,579396.95,56443.26,435901.42,2394123.58,5633.23
110,42101010500,290,1978,2025,1111947.94,237643.15,36713.41,192729.02,1579033.52,5444.94
111,42101010600,268,1978,2025,1260416.9,405250.33,57140.23,183668.4,1906475.86,7113.72
112,42101010700,447,1978,2025,1311251.33,305318.9,41568.62,245489.9,1903628.75,4258.68
113,42101010800,486,1987,2025,1807154.82,493235.33,65133.28,347202.11,2712725.54,5581.74
114,42101010900,143,1978,2025,613920.95,98824.8,13882.67,52613.88,779242.3,5449.25
115,42101011000,444,1983,2025,1514656.86,393244.82,61255.23,322889.3,2292046.21,5162.27
116,42101011100,652,1978,2025,2291305.89,690775.03,89986.18,465746.82,3537813.92,5426.09
117,42101011200,572,1981,2025,1697003.64,565289.25,59464.93,385953.14,2707710.96,4733.76
118,42101011300,293,1996,2025,980128.2,211100.74,25694.58,169935.41,1386858.93,4733.31
119,42101011400,434,1987,2025,2115797.72,299998.94,49330.36,257920.67,2723047.69,6274.3
120,42101011500,144,1997,2025,536517.05,89984.51,14982.51,85824.18,727308.25,5050.75
121,42101011700,74,1987,2025,468334.15,144368.03,6814.86,34004.68,653521.72,8831.37
122,42101011800,398,1990,2025,1614626.95,327728.45,36559.58,219074.93,2197989.91,5522.59
123,42101011900,364,1993,2025,1619363.57,295651.92,38529.02,227216.44,2180760.95,5991.1
124,42101012000,76,1987,2025,665992.18,234154.26,22050.32,88219.32,1010416.08,13294.95
125,42101012100,67,1980,2025,252280.57,43097.34,4910.9,21460.38,321749.19,4802.23
126,42101012204,130,2001,2025,339301.19,96624.27,9330.81,37291.85,482548.12,3711.91
127,42101012501,11,2006,2025,892180.62,85979.09,23398.26,9383.66,1010941.63,91903.78
128,42101012502,35,2018,2025,294311.48,38295.71,8208.09,10902.8,351718.08,10049.09
129,42101013100,43,1980,2025,661031.16,83183.97,18012.37,31935.91,794163.41,18468.92
130,42101013200,160,1978,2025,611066.46,135457.55,13703.49,62858.71,823086.21,5144.29
131,42101013300,111,1978,2025,1048582.94,170965.91,23578.65,60568.22,1303695.72,11745.01
132,42101013401,56,2010,2025,378767.83,41378.72,9265.33,18875.32,448287.2,8005.13
133,42101013402,63,2002,2025,391589.51,55819.74,8397.48,14719.45,470526.18,7468.67
134,42101013500,143,1985,2025,1018772.72,141397.86,21561.92,72084.36,1253816.86,8767.95
135,42101013601,65,2014,2025,343073.09,39211.6,5709.16,12011.87,400005.72,6153.93
136,42101013602,74,1992,2025,500254.64,51376.5,9509.74,26389.76,587530.64,7939.6
137,42101013701,106,1989,2025,366348.74,50274.84,7545.12,44096.56,468265.36,4417.6
138,42101013702,363,1978,2025,1128791.52,176346.37,25515.68,151340.16,1481993.73,4082.63
139,42101013800,231,1978,2025,854108.58,188811.39,22534.72,122004.04,1187458.73,5140.51
140,42101013900,121,1978,2025,858005.5,148350.8,24446.39,66042.36,1096845.05,9064.84
141,42101014000,253,1978,2025,2235939.12,367625.89,53585.43,178520.27,2835670.71,11208.18
142,42101014100,127,1978,2025,1170696.23,169121.39,28923.26,50251.45,1418992.33,11173.17
143,42101014201,151,1980,2025,758153.96,87463.41,9061.23,34346.95,889025.55,5887.59
144,42101014202,121,1997,2025,1458754.12,200744.67,66202.99,121306.07,1847007.85,15264.53
145,42101014300,101,1978,2025,695854.4,95810.64,15606.15,55403.1,862674.29,8541.33
146,42101014400,309,1978,2025,2053213.91,293417.67,56060.35,173001.18,2575693.11,8335.58
147,42101014500,109,1978,2025,366364.31,77658.78,11055,55162.65,513538.77,4711.36
148,42101014600,124,1993,2025,1273251.24,165501.34,27192.67,91505.59,1557450.84,12560.09
149,42101014700,157,1978,2025,2108369.96,392994,62837.78,124910.16,2689111.9,17128.1
150,42101014800,117,1978,2025,581202.18,173206.63,19782.12,84443.81,858634.74,7338.76
151,42101014900,586,1978,2025,1740451.94,458465.96,56265.36,357434.73,2612617.99,4458.39
152,42101015101,249,1978,2025,641419.76,148963.71,22046.5,166163.12,978593.09,3930.09
153,42101015102,610,1978,2025,1539407.8,532789.6,58502.8,460931.12,2591631.8,4248.58
154,42101015200,607,1978,2025,2040831.24,599957.71,72122.14,541584.8,3254495.89,5361.61
155,42101015300,213,1979,2025,1153675.49,178283.94,36598.73,126934.38,1495492.54,7021.09
156,42101015600,336,1978,2025,1636320.45,357980.14,48687.9,270366.32,2313354.81,6884.98
157,42101015700,331,1979,2025,1600263.87,198968.59,44871.72,109996.17,1954100.35,5903.63
158,42101015800,280,1985,2025,1423402.49,175330,27807.57,103232.3,1730228.57,6179.39
159,42101016001,158,2000,2025,949453.09,108246.99,21072.63,49053.72,1127826.43,7138.14
160,42101016002,230,1998,2025,1085971.16,173903.17,26029.23,94145.83,1380049.39,6000.21
161,42101016100,487,1978,2025,2044762.5,360621.38,47984.35,229650.96,2683019.19,5509.28
162,42101016200,405,1978,2025,1111585.67,342203.12,39454.26,368805.3,1862048.35,4597.65
163,42101016300,584,1978,2025,1495537.51,289860.36,44109.89,324015.33,2153523.09,3687.54
164,42101016400,597,1978,2025,1256328.81,419791.84,47388.61,406410.54,2129919.8,3567.7
165,42101016500,522,1978,2025,1507816.27,548058.53,61350.24,474705.3,2591930.34,4965.38
