structure_id,id_type,standpipe_status,standpipe_casefile,fire_alarm_status,fire_alarm_casefile,smoke_control_status,smoke_control_casefile,pier_status,pier_casefile,fire_escape_status,fire_escape_casefile,private_bridge_status,private_bridge_casefile,emer_stdby_pwr_sys_status,emer_stdby_pwr_sys_casefile,special_hazards_status,special_hazards_casefile,facade_status,facade_casefile,sprinkler_status,sprinkler_casefile,damper_status,damper_casefile,objectid
1536587,BIN,,,Expired,,,,,,,,,,Expired,,Active,,,,Expired,,,,1
1071440,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,2
1004398,BIN,,,,,,,,,,,,,,,,,,,Active,,,,3
1398061,BIN,,,Active,,,,,,Expired,CF-2022-083565,,,Expired,,Active,,,,Active,,,,4
1068067,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,5
1515382,BIN,,,,,,,,,,,,,Expired,,,,,,Active,,,,6
1380731,BIN,,,,,,,,,,,,,,,Active,,,,,,,,7
1538925,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,8
1542291,BIN,,,Deficient,CF-2025-091827,,,,,,,,,,,Active,,,,,,,,9
1511532,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Active,,,,10
1535059,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,11
1059343,BIN,,,,,,,,,,,,,,,,,,,Active,,,,12
3000408,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,13
1551139,BIN,,,Active,,,,,,,,,,,,,,,,,,,,14
1282921,BIN,,,Active,,,,,,,,,,,,,,,,,,,,15
1475041,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,16
1179174,BIN,,,Active,,,,,,,,,,,,,,,,,,,,17
1002242,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,18
1455000,BIN,,,,,,,,,,,,,,,Active,,,,,,,,19
1094257,BIN,,,Expired,,,,,,,,,,,,Active,,,,Expired,,,,20
1115083,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,21
1054498,BIN,,,,,,,,,,,,,,,Expired,,,,,,,,22
1514765,BIN,,,Active,,,,,,,,,,,,,,,,,,,,23
1390584,BIN,,,Deficient,,,,,,,,,,,,Expired,,,,Expired,,,,24
1503401,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,25
1425394,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,26
1368781,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,27
1028950,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,28
1082766,BIN,,,Active,,,,,,,,,,,,,,Expired,CF-2021-011050,Active,,,,29
1371698,BIN,,,Active,,,,,,,,,,,,Active,,Active,,Deficient,CF-2025-111460,,,30
1216281,BIN,,,,,,,,,,,,,Expired,CF-2025-055875,,,,,Deficient,CF-2025-055875,,,31
1282349,BIN,,,Expired,,,,,,,,,,Active,,,,Active,,Expired,,,,32
1052220,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,33
1475400,BIN,,,Active,,,,,,,,,,Active,,,,Active,,Expired,CF-2025-093886,,,34
1545323,BIN,,,,,,,,,,,,,,,Active,,Expired,,Expired,,,,35
1201815,BIN,,,Active,,,,,,,,,,,,,,,,,,,,36
1386818,BIN,,,Active,,,,,,,,,,,,,,,,,,,,37
1007040,BIN,,,Active,,,,,,,,,,,,,,,,,,,,38
1066427,BIN,,,Active,,,,,,,,,,,,,,,,,,,,39
1105357,BIN,,,Active,,,,,,,,,,,,,,,,,,,,40
1237560,BIN,,,Deficient,,,,,,,,,,Active,,Active,,,,Expired,,,,41
1413388,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,42
1007028,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,43
1211783,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,44
1250108,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,45
1241955,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,46
1189495,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,47
1544979,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,48
1480683,BIN,,,Active,,,,,,,,,,Active,,Expired,,,,,,,,49
1016590,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,50
1508417,BIN,,,Expired,,,,,,,,,,,,Active,,,,Active,,,,51
1000140,BIN,,,,,,,,,,,,,,,,,,,Active,,,,52
1459555,BIN,,,Active,,,,,,,,,,,,Expired,,,,,,,,53
1481957,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,54
1318039,BIN,,,Active,,,,,,,,,,,,,,,,,,,,55
1459630,BIN,,,Expired,,Expired,,,,,,,,Expired,,Active,,Active,,Active,,Active,,56
1303992,BIN,,,Deficient,CF-2025-014356,,,,,,,,,,,,,,,Deficient,CF-2025-014356,,,57
1183089,BIN,,,Active,,,,,,,,,,,,Active,,,,Active,,,,58
1152514,BIN,,,Expired,,,,,,Active,,,,Expired,,,,,,,,,,59
1404486,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,60
1045836,BIN,,,Active,,,,,,,,,,Expired,,,,Active,,Expired,,,,61
1088060,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,62
1045781,BIN,,,Active,,,,,,,,,,,,,,,,,,,,63
1398102,BIN,,,Active,,,,,,,,,,,,,,,,,,,,64
1498709,BIN,,,Active,,,,,,,,,,Expired,,Expired,,,,,,,,65
1470653,BIN,,,Active,,,,,,Active,,,,Active,,,,,,,,,,66
1443529,BIN,,,Active,,,,,,,,,,,,,,,,,,,,67
1413808,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,68
1420302,BIN,,,,,,,,,Active,,,,,,,,,,,,,,69
1373266,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,70
1381087,BIN,,,Expired,CF-2025-019502,,,,,,,,,,,,,Active,,Deficient,CF-2025-019502,,,71
1239195,BIN,,,Active,,,,,,,,,,,,,,,,,,,,72
1113627,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,73
1544218,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Active,,,,74
1334001,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,75
1391428,BIN,,,Active,,,,,,,,,,,,,,,,,,,,76
1492075,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,77
1455579,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,78
1045125,BIN,,,Active,,,,,,,,,,,,,,,,,,,,79
1037049,BIN,,,Active,,,,,,,,,,,,,,,,,,,,80
1051984,BIN,,,Active,,,,,,,,,,,,,,,,,,,,81
1109237,BIN,,,Active,,,,,,,,,,Expired,,,,,,,,,,82
1040422,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,83
1544391,BIN,,,,,,,,,,,,,,,,,,,Active,,,,84
1050173,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,85
1003584,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,86
1083974,BIN,,,,,,,,,,,,,,,,,,,Active,,,,87
1015663,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,88
1423252,BIN,,,Active,,,,,,,,,,,,,,,,,,,,89
1547833,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,90
1484689,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Deficient,CF-2025-091773,,,91
1144214,BIN,,,Active,,,,,,,,,,Active,,,,,,Expired,,,,92
1432016,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,93
1456210,BIN,,,Expired,,,,,,,,,,Expired,,,,,,,,,,94
1449216,BIN,,,Expired,,,,,,,,,,Expired,,,,,,Active,,,,95
1329399,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,96
1107418,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,97
1368474,BIN,,,Active,,,,,,,,,,,,,,,,,,,,98
1208856,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,99
1365351,BIN,,,Active,,,,,,,,,,Active,,Active,,Active,,Active,,,,100
1546486,BIN,,,Active,,,,,,,,,,Expired,,Active,,,,Active,,,,101
1071956,BIN,,,Active,,,,,,,,,,,,,,Unsafe,,Active,,,,102
1143959,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,103
1364807,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Expired,,,,104
1432558,BIN,,,Active,,,,,,,,,,,,,,,,,,,,105
1404194,BIN,,,Active,,,,,,,,,,,,,,,,,,,,106
1013346,BIN,,,Active,,,,,,,,,,,,,,,,,,,,107
1182938,BIN,,,Active,,,,,,,,,,,,,,,,,,,,108
1296276,BIN,,,Active,,,,,,,,,,,,,,,,,,,,109
1539167,BIN,,,Active,,,,,,,,,,,,,,,,,,,,110
1442564,BIN,,,,,,,,,,,,,,,Active,,,,,,,,111
1102102,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,112
1550535,BIN,,,,,,,,,,,,,,,Active,,,,,,,,113
1540082,BIN,Expired,,Expired,,,,,,,,,,,,Expired,,,,Expired,,,,114
1509712,BIN,,,Expired,,,,,,,,,,,,Active,,Active,,Expired,,,,115
1506703,BIN,,,Expired,,,,,,,,,,,,,,Expired,CF-2023-112622,Deficient,,,,116
1184277,BIN,,,Active,,,,,,,,,,,,,,,,Expired,CF-2025-059961,,,117
1384351,BIN,,,,,,,,,Expired,,,,,,,,,,Deficient,CF-2024-089339,,,118
1384385,BIN,,,Active,,,,,,,,,,,,,,,,,,,,119
1445965,BIN,,,Active,,,,,,,,,,Active,,Expired,,Active,,Deficient,CF-2025-110457,,,120
1002506,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,121
1550128,BIN,,,Active,,,,,,,,,,,,,,,,,,,,122
1128106,BIN,,,Active,,,,,,,,,,,,Expired,,,,Active,,,,123
1085255,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,124
1540745,BIN,,,Active,,,,,,,,,,Expired,,Active,,,,,,,,125
1450293,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,126
1235933,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,127
1333660,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,128
1437638,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,129
1062810,BIN,,,Active,,,,,,,,,,,,,,,,,,,,130
1547889,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,131
1144801,BIN,,,Expired,,,,,,Active,,,,,,,,,,,,,,132
1419005,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,133
1017679,BIN,,,Active,,,,,,,,,,,,Active,,,,Deficient,,,,134
1436388,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,135
1529916,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,136
1330173,BIN,,,Expired,,,,,,,,,,Active,,,,,,Expired,,,,137
1398068,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,138
1467316,BIN,,,Active,,,,,,,,,,,,,,,,,,,,139
1355789,BIN,,,Active,,,,,,,,,,,,,,,,,,,,140
1523276,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,141
1497454,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,142
1243306,BIN,,,Active,,,,,,,,,,,,,,,,,,,,143
1067908,BIN,,,,,,,,,,,,,,,,,,,,,,,144
1211896,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,145
1426954,BIN,,,Active,,,,,,Active,,,,,,,,,,,,,,146
1387725,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,147
1531649,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,148
1114507,BIN,,,Active,,,,,,,,,,,,,,,,,,,,149
1404221,BIN,,,Active,,,,,,,,,,,,,,,,,,,,150
1067746,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,151
1124853,BIN,,,Active,,,,,,,,,,,,,,,,,,,,152
3000334,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,153
1427494,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,154
1549068,BIN,,,,,,,,,,,,,,,,,,,Active,,,,155
1538189,BIN,,,Expired,,,,,,,,,,,,,,,,Expired,,,,156
1007417,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,157
1039254,BIN,,,Expired,,,,,,,,,,,,,,,,,,,,158
1472615,BIN,,,Deficient,CF-2025-110107,,,,,,,,,Expired,CF-2025-110107,Deficient,CF-2025-110107,Expired,,Active,,,,159
1139957,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,160
1505010,BIN,,,Active,,,,,,,,,,,,,,,,,,,,161
1205017,BIN,,,Active,,,,,,,,,,Active,,Active,,,,Active,,,,162
1020255,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,163
1428444,BIN,,,Active,,,,,,,,,,,,,,,,,,,,164
1114235,BIN,,,Active,,,,,,,,,,,,,,,,,,,,165
1525967,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,166
1380424,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,167
1158352,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,168
1492288,BIN,,,,,,,,,,,,,,,,,,,Active,,,,169
1503039,BIN,,,Active,,,,,,,,,,,,Deficient,,,,Active,,,,170
1443857,BIN,,,Active,,,,,,Active,,,,Active,,Active,,,,Active,,,,171
3000388,BIN,,,Expired,,,,,,,,,,,,,,,,Active,,,,172
1183714,BIN,,,Active,,,,,,,,,,,,Active,,,,,,,,173
1507751,BIN,,,Expired,,,,,,,,,,,,Active,,,,,,,,174
1522697,BIN,,,Expired,,,,,,,,,,,,Expired,,,,Expired,,,,175
1503756,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,176
1230761,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,177
1042552,BIN,,,Active,,,,,,,,,,,,,,,,,,,,178
1520531,BIN,,,,,,,,,,,,,,,Active,,,,,,,,179
1445848,BIN,,,Active,,,,,,,,,,Active,,,,,,,,,,180
1030196,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,181
1545320,BIN,,,Active,,Active,,,,,,,,Active,,Active,,Active,,Active,,Active,,182
1062417,BIN,Expired,,Active,,,,,,,,,,,,Active,,,,Active,,,,183
1369949,BIN,,,,,,,,,,,,,,,Active,,,,,,,,184
1216295,BIN,,,Deficient,,,,,,,,,,,,,,,,Expired,,,,185
1110562,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,186
1095736,BIN,,,Active,,,,,,Expired,,,,,,,,,,,,,,187
1541624,BIN,,,Active,,,,,,,,,,,,,,,,Deficient,CF-2025-027848,,,188
1370834,BIN,,,,,,,,,,,,,,,,,,,Expired,,,,189
1439069,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,190
1475401,BIN,,,Active,,,,,,,,,,,,,,,,Expired,,,,191
1023966,BIN,,,Expired,,,,,,,,,,,,,,,,Deficient,CF-2025-034508,,,192
1421448,BIN,,,Active,,,,,,,,,,,,,,,,Active,,,,193
