Philadelphia_City_Council_Distr,Mode,Season,Day_of_Week,On_,Off_,ObjectId
10,Bus,Fall 2022,Weekday,14548,14473,1
1,Bus,Fall 2022,Saturday,27103,23842,2
2,Bus,Fall 2022,Saturday,13960,14281,3
3,Bus,Fall 2022,Saturday,14927,15527,4
4,Bus,Fall 2022,Saturday,11732,11900,5
5,Bus,Fall 2022,Saturday,23945,25011,6
6,Bus,Fall 2022,Saturday,5604,5644,7
7,Bus,Fall 2022,Saturday,15578,16138,8
8,Bus,Fall 2022,Saturday,20106,20132,9
9,Bus,Fall 2022,Saturday,15438,14745,10
10,Bus,Fall 2022,Saturday,6414,6339,11
1,Bus,Fall 2022,Sunday,17953,15671,12
2,Bus,Fall 2022,Sunday,9724,9967,13
3,Bus,Fall 2022,Sunday,10285,10783,14
4,Bus,Fall 2022,Sunday,7893,8082,15
5,Bus,Fall 2022,Sunday,16777,17381,16
6,Bus,Fall 2022,Sunday,4078,4145,17
7,Bus,Fall 2022,Sunday,11691,12061,18
8,Bus,Fall 2022,Sunday,13888,13858,19
9,Bus,Fall 2022,Sunday,10629,10076,20
10,Bus,Fall 2022,Sunday,4568,4601,21
1,Bus,Fall 2023,Weekday,47855,43379,22
2,Bus,Fall 2023,Weekday,29687,31037,23
3,Bus,Fall 2023,Weekday,33720,35387,24
4,Bus,Fall 2023,Weekday,27988,27242,25
5,Bus,Fall 2023,Weekday,47851,49103,26
6,Bus,Fall 2023,Weekday,17862,16735,27
7,Bus,Fall 2023,Weekday,33013,33629,28
8,Bus,Fall 2023,Weekday,43230,43099,29
9,Bus,Fall 2023,Weekday,32898,31931,30
10,Bus,Fall 2023,Weekday,14431,14379,31
1,Bus,Fall 2023,Saturday,27022,24781,32
2,Bus,Fall 2023,Saturday,15053,15370,33
3,Bus,Fall 2023,Saturday,14728,15568,34
4,Bus,Fall 2023,Saturday,12621,12671,35
5,Bus,Fall 2023,Saturday,23733,24630,36
6,Bus,Fall 2023,Saturday,7802,7328,37
7,Bus,Fall 2023,Saturday,15624,15881,38
8,Bus,Fall 2023,Saturday,20358,20267,39
9,Bus,Fall 2023,Saturday,15334,14632,40
10,Bus,Fall 2023,Saturday,5896,5891,41
1,Bus,Fall 2023,Sunday,18563,16886,42
2,Bus,Fall 2023,Sunday,11006,11290,43
3,Bus,Fall 2023,Sunday,10749,11303,44
4,Bus,Fall 2023,Sunday,8931,9110,45
5,Bus,Fall 2023,Sunday,17560,18124,46
6,Bus,Fall 2023,Sunday,5837,5431,47
7,Bus,Fall 2023,Sunday,11916,12242,48
8,Bus,Fall 2023,Sunday,14835,14771,49
9,Bus,Fall 2023,Sunday,11126,10654,50
10,Bus,Fall 2023,Sunday,4206,4315,51
1,Bus,Fall 2014,Weekday,71683,68911,52
2,Bus,Fall 2014,Weekday,44425,43025,53
3,Bus,Fall 2014,Weekday,48269,47798,54
4,Bus,Fall 2014,Weekday,43875,44131,55
5,Bus,Fall 2014,Weekday,72629,72320,56
6,Bus,Fall 2014,Weekday,21714,22197,57
7,Bus,Fall 2014,Weekday,56989,60005,58
8,Bus,Fall 2014,Weekday,65312,66193,59
9,Bus,Fall 2014,Weekday,58316,56784,60
10,Bus,Fall 2014,Weekday,21792,21046,61
