Philadelphia_City_Ward,Mode,Season,Day_of_Week,On_,Off_,ObjectId
35,Bus,Fall 2015,Weekday,8443,8064,1
36,Bus,Fall 2015,Weekday,7885,8908,2
37,Bus,Fall 2015,Weekday,6426,5626,3
38,Bus,Fall 2015,Weekday,8752,8521,4
39,Bus,Fall 2015,Weekday,15219,14916,5
40,Bus,Fall 2015,Weekday,8395,8102,6
41,Bus,Fall 2015,Weekday,5233,5567,7
42,Bus,Fall 2015,Weekday,5653,6323,8
43,Bus,Fall 2015,Weekday,10404,9485,9
44,Bus,Fall 2015,Weekday,5362,5131,10
45,Bus,Fall 2015,Weekday,9537,6988,11
46,Bus,Fall 2015,Weekday,3209,2959,12
47,Bus,Fall 2015,Weekday,3943,4692,13
48,Bus,Fall 2015,Weekday,5942,5590,14
49,Bus,Fall 2015,Weekday,26757,25072,15
50,Bus,Fall 2015,Weekday,5666,5787,16
51,Bus,Fall 2015,Weekday,4116,4033,17
52,Bus,Fall 2015,Weekday,11311,11696,18
53,Bus,Fall 2015,Weekday,2987,2919,19
54,Bus,Fall 2015,Weekday,3592,3191,20
55,Bus,Fall 2015,Weekday,928,1354,21
56,Bus,Fall 2015,Weekday,8316,6684,22
57,Bus,Fall 2015,Weekday,2023,3158,23
58,Bus,Fall 2015,Weekday,5548,4578,24
59,Bus,Fall 2015,Weekday,13173,13993,25
60,Bus,Fall 2015,Weekday,12747,11904,26
61,Bus,Fall 2015,Weekday,10276,10547,27
62,Bus,Fall 2015,Weekday,25484,26703,28
63,Bus,Fall 2015,Weekday,2095,2072,29
64,Bus,Fall 2015,Weekday,3425,3270,30
65,Bus,Fall 2015,Weekday,1889,1875,31
66,Bus,Fall 2015,Weekday,5077,7075,32
1,Bus,Fall 2016,Weekday,5594,5402,33
2,Bus,Fall 2016,Weekday,4265,3750,34
3,Bus,Fall 2016,Weekday,4850,4803,35
4,Bus,Fall 2016,Weekday,4193,4278,36
5,Bus,Fall 2016,Weekday,34424,32720,37
6,Bus,Fall 2016,Weekday,3545,4222,38
7,Bus,Fall 2016,Weekday,6110,6122,39
8,Bus,Fall 2016,Weekday,28950,28585,40
9,Bus,Fall 2016,Weekday,2944,2926,41
10,Bus,Fall 2016,Weekday,3697,3952,42
11,Bus,Fall 2016,Weekday,4699,5384,43
12,Bus,Fall 2016,Weekday,10789,9512,44
13,Bus,Fall 2016,Weekday,15022,13384,45
14,Bus,Fall 2016,Weekday,3130,2773,46
15,Bus,Fall 2016,Weekday,2062,2115,47
16,Bus,Fall 2016,Weekday,3916,4431,48
17,Bus,Fall 2016,Weekday,6242,7774,49
18,Bus,Fall 2016,Weekday,2109,1926,50
51,Bus,Fall 2014,Weekday,4212,4038,51
52,Bus,Fall 2014,Weekday,11252,11582,52
53,Bus,Fall 2014,Weekday,3226,3003,53
54,Bus,Fall 2014,Weekday,3664,3036,54
55,Bus,Fall 2014,Weekday,947,1326,55
56,Bus,Fall 2014,Weekday,8456,6719,56
57,Bus,Fall 2014,Weekday,2125,3044,57
58,Bus,Fall 2014,Weekday,5922,4818,58
59,Bus,Fall 2014,Weekday,12815,13623,59
60,Bus,Fall 2014,Weekday,12985,12134,60
61,Bus,Fall 2014,Weekday,10244,10548,61
62,Bus,Fall 2014,Weekday,25856,28080,62
63,Bus,Fall 2014,Weekday,2176,2118,63
64,Bus,Fall 2014,Weekday,3458,3306,64
65,Bus,Fall 2014,Weekday,2060,1918,65
