X,Y,FID,Source,Year,Line,Station,Service_Ty,Direction,Boards,Leaves,Stop_ID,Latitude,Longitude
-8376428.91646363,4905823.70082899,1,Census,2017,Lansdale/Doylestown,Link Belt,Sunday,Outbound,0,55,90534,40.27389194,-75.24674122
-8387789.15621509,4882951.57009922,2,Census,2017,Manayunk/Norristown,Main Street,Weekday,Inbound,183,0,90227,40.11694899,-75.34879199
-8387789.15621509,4882951.57009922,3,Census,2017,Manayunk/Norristown,Main Street,Weekday,Outbound,2,190,90227,40.11694899,-75.34879199
-8387789.15621509,4882951.57009922,4,Census,2017,Manayunk/Norristown,Main Street,Saturday,Inbound,100,1,90227,40.11694899,-75.34879199
-8387789.15621509,4882951.57009922,5,Census,2017,Manayunk/Norristown,Main Street,Saturday,Outbound,0,138,90227,40.11694899,-75.34879199
-8387789.15621509,4882951.57009922,6,Census,2017,Manayunk/Norristown,Main Street,Sunday,Inbound,64,1,90227,40.11694899,-75.34879199
-8387789.15621509,4882951.57009922,7,Census,2017,Manayunk/Norristown,Main Street,Sunday,Outbound,0,53,90227,40.11694899,-75.34879199
-8406350.92433233,4871241.40441246,8,Census,2017,Paoli/Thorndale,Malvern,Weekday,Inbound,793,27,90505,40.03645616,-75.51553519
-8406350.92433233,4871241.40441246,9,Census,2017,Paoli/Thorndale,Malvern,Weekday,Outbound,18,798,90505,40.03645616,-75.51553519
-8406350.92433233,4871241.40441246,10,Census,2017,Paoli/Thorndale,Malvern,Saturday,Inbound,435,4,90505,40.03645616,-75.51553519
-8406350.92433233,4871241.40441246,11,Census,2017,Paoli/Thorndale,Malvern,Saturday,Outbound,10,474,90505,40.03645616,-75.51553519
-8406350.92433233,4871241.40441246,12,Census,2017,Paoli/Thorndale,Malvern,Sunday,Inbound,300,0,90505,40.03645616,-75.51553519
-8406350.92433233,4871241.40441246,13,Census,2017,Paoli/Thorndale,Malvern,Sunday,Outbound,0,307,90505,40.03645616,-75.51553519
-8374005.14494544,4869835.83020868,14,Census,2017,Manayunk/Norristown,Manayunk,Weekday,Inbound,650,52,90221,40.02678819,-75.22496811
-8374005.14494544,4869835.83020868,15,Census,2017,Manayunk/Norristown,Manayunk,Weekday,Outbound,73,519,90221,40.02678819,-75.22496811
-8374005.14494544,4869835.83020868,16,Census,2017,Manayunk/Norristown,Manayunk,Saturday,Inbound,240,27,90221,40.02678819,-75.22496811
-8374005.14494544,4869835.83020868,17,Census,2017,Manayunk/Norristown,Manayunk,Saturday,Outbound,31,230,90221,40.02678819,-75.22496811
-8374005.14494544,4869835.83020868,18,Census,2017,Manayunk/Norristown,Manayunk,Sunday,Inbound,127,15,90221,40.02678819,-75.22496811
-8374005.14494544,4869835.83020868,19,Census,2017,Manayunk/Norristown,Manayunk,Sunday,Outbound,12,98,90221,40.02678819,-75.22496811
-8395664.70406012,4840059.50200202,20,Census,2017,Wilmington/Newark,Marcus Hook,Weekday,Inbound,531,15,90205,39.8216556,-75.41953924
-8395664.70406012,4840059.50200202,21,Census,2017,Wilmington/Newark,Marcus Hook,Weekday,Outbound,14,572,90205,39.8216556,-75.41953924
-8395664.70406012,4840059.50200202,22,Census,2017,Wilmington/Newark,Marcus Hook,Saturday,Inbound,150,7,90205,39.8216556,-75.41953924
-8395664.70406012,4840059.50200202,23,Census,2017,Wilmington/Newark,Marcus Hook,Saturday,Outbound,3,172,90205,39.8216556,-75.41953924
-8395664.70406012,4840059.50200202,24,Census,2017,Wilmington/Newark,Marcus Hook,Sunday,Inbound,64,3,90205,39.8216556,-75.41953924
-8395664.70406012,4840059.50200202,25,Census,2017,Wilmington/Newark,Marcus Hook,Sunday,Outbound,5,79,90205,39.8216556,-75.41953924
-8359255.85676765,4882132.29966549,26,Census,2017,West Trenton,Meadowbrook,Weekday,Inbound,121,2,90317,40.11132062,-75.092473
-8359255.85676765,4882132.29966549,27,Census,2017,West Trenton,Meadowbrook,Weekday,Outbound,1,108,90317,40.11132062,-75.092473
-8359255.85676765,4882132.29966549,28,Census,2017,West Trenton,Meadowbrook,Saturday,Inbound,27,0,90317,40.11132062,-75.092473
-8359255.85676765,4882132.29966549,29,Census,2017,West Trenton,Meadowbrook,Saturday,Outbound,0,25,90317,40.11132062,-75.092473
-8359255.85676765,4882132.29966549,30,Census,2017,West Trenton,Meadowbrook,Sunday,Inbound,15,6,90317,40.11132062,-75.092473
-8359255.85676765,4882132.29966549,31,Census,2017,West Trenton,Meadowbrook,Sunday,Outbound,0,22,90317,40.11132062,-75.092473
-8392894.71445403,4853486.75320356,32,Census,2017,Media/Wawa,Media,Weekday,Inbound,511,2,90302,39.91423358,-75.394656
-8392894.71445403,4853486.75320356,33,Census,2017,Media/Wawa,Media,Weekday,Outbound,1,490,90302,39.91423358,-75.394656
-8392894.71445403,4853486.75320356,34,Census,2017,Media/Wawa,Media,Saturday,Inbound,108,0,90302,39.91423358,-75.394656
-8392894.71445403,4853486.75320356,35,Census,2017,Media/Wawa,Media,Saturday,Outbound,1,110,90302,39.91423358,-75.394656
-8392894.71445403,4853486.75320356,36,Census,2017,Media/Wawa,Media,Sunday,Inbound,47,2,90302,39.91423358,-75.394656
-8392894.71445403,4853486.75320356,37,Census,2017,Media/Wawa,Media,Sunday,Outbound,0,74,90302,39.91423358,-75.394656
-8363337.68089423,4874589.34336908,38,Census,2017,Lansdale/Doylestown,Melrose Park,Weekday,Inbound,92,6,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,39,Census,2017,Warminster,Melrose Park,Weekday,Inbound,268,10,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,40,Census,2017,West Trenton,Melrose Park,Weekday,Inbound,127,0,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,41,Census,2017,Lansdale/Doylestown,Melrose Park,Weekday,Outbound,12,56,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,42,Census,2017,Warminster,Melrose Park,Weekday,Outbound,8,142,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,43,Census,2017,West Trenton,Melrose Park,Weekday,Outbound,0,87,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,44,Census,2017,Lansdale/Doylestown,Melrose Park,Saturday,Inbound,54,27,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,45,Census,2017,Warminster,Melrose Park,Saturday,Inbound,38,2,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,46,Census,2017,West Trenton,Melrose Park,Saturday,Inbound,0,0,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,47,Census,2017,Lansdale/Doylestown,Melrose Park,Saturday,Outbound,9,30,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,48,Census,2017,Warminster,Melrose Park,Saturday,Outbound,4,81,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,49,Census,2017,West Trenton,Melrose Park,Saturday,Outbound,0,0,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,50,Census,2017,Lansdale/Doylestown,Melrose Park,Sunday,Inbound,35,7,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,51,Census,2017,Warminster,Melrose Park,Sunday,Inbound,45,7,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,52,Census,2017,West Trenton,Melrose Park,Sunday,Inbound,0,0,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,53,Census,2017,Lansdale/Doylestown,Melrose Park,Sunday,Outbound,8,18,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,54,Census,2017,Warminster,Melrose Park,Sunday,Outbound,12,58,90408,40.05947879,-75.12914065
-8363337.68089423,4874589.34336908,55,Census,2017,West Trenton,Melrose Park,Sunday,Outbound,0,0,90408,40.05947879,-75.12914065
-8376956.09440257,4865579.16734099,56,Census,2017,Paoli/Thorndale,Merion,Weekday,Inbound,133,16,90521,39.9975012,-75.25147694
